00-01-scope-and-constraints	DONE	5	MEDIUM	task	Phase 00 — Scope and constraints	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-01-scope-and-constraints.md	design,devops,frontend,planning,usability		board/tasks/00-01-scope-and-constraints.md
00-02-board-data-audit	DONE	5	MEDIUM	task	Phase 00 — Board data audit	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-02-board-data-audit.md	design,frontend,planning,usability		board/tasks/00-02-board-data-audit.md
00-03-cli-surface-and-aliases	DONE	5	MEDIUM	task	Phase 00 — CLI surface and aliases	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-03-cli-surface-and-aliases.md	design,documentation,frontend,planning,usability		board/tasks/00-03-cli-surface-and-aliases.md
00-04-kanban-ux-requirements	DONE	5	MEDIUM	task	Phase 00 — Kanban UX requirements	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-04-kanban-ux-requirements.md	design,devops,frontend,planning,usability		board/tasks/00-04-kanban-ux-requirements.md
00-05-module-layout-and-responsibilities	DONE	5	MEDIUM	task	Phase 00 — Module layout and responsibilities	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-05-module-layout-and-responsibilities.md	design,documentation,frontend,planning,usability		board/tasks/00-05-module-layout-and-responsibilities.md
00-06-acceptance-criteria	DONE	5	MEDIUM	task	Phase 00 — Acceptance criteria	/Users/rtfa/lab/bilu/.bilu/board/tasks/00-06-acceptance-criteria.md	design,documentation,frontend,planning,testing,usability		board/tasks/00-06-acceptance-criteria.md
01-01-source-of-truth	DONE	5	MEDIUM	task	Phase 01 — Choose source of truth	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-01-source-of-truth.md	planning		board/tasks/01-01-source-of-truth.md
01-02-normalized-task-schema	DONE	5	MEDIUM	task	Phase 01 — Normalized task schema	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-02-normalized-task-schema.md	planning		board/tasks/01-02-normalized-task-schema.md
01-03-normalization-rules	DONE	5	MEDIUM	task	Phase 01 — Normalization rules	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-03-normalization-rules.md	design,frontend,planning,usability		board/tasks/01-03-normalization-rules.md
01-04-json-and-markdown-parsing-strategy	DONE	5	MEDIUM	task	Phase 01 — Parsing strategy (no `jq`)	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-04-json-and-markdown-parsing-strategy.md	planning		board/tasks/01-04-json-and-markdown-parsing-strategy.md
01-05-validation-command	DONE	5	MEDIUM	task	Phase 01 — `bilu board --validate`	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-05-validation-command.md	documentation,planning,testing		board/tasks/01-05-validation-command.md
01-06-index-derivation-and-migration	DONE	5	MEDIUM	task	Phase 01 — Index derivation and migration	/Users/rtfa/lab/bilu/.bilu/board/tasks/01-06-index-derivation-and-migration.md	planning		board/tasks/01-06-index-derivation-and-migration.md
02-01-board-command-entrypoint	DONE	5	MEDIUM	task	Phase 02 — Board command entrypoint	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-01-board-command-entrypoint.md	documentation,planning		board/tasks/02-01-board-command-entrypoint.md
02-02-module-skeleton	DONE	5	MEDIUM	task	Phase 02 — Module skeleton	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-02-module-skeleton.md	design,frontend,planning,usability		board/tasks/02-02-module-skeleton.md
02-03-layout-detection	DONE	5	MEDIUM	task	Phase 02 — Layout detection	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-03-layout-detection.md	planning		board/tasks/02-03-layout-detection.md
02-04-args-parser	DONE	5	MEDIUM	task	Phase 02 — Args parser	/Users/rtfa/lab/bilu/.bilu/board/tasks/02-04-args-parser.md	devops,documentation,planning		board/tasks/02-04-args-parser.md
